super_opeid,opeid,institution_name,superopeid_name,multi
-1,3676,UTAH STATE UNIVERSITY - COLLEGE OF EASTERN UTAH,COLLEGES WITH INSUFFICIENT DATA,1
-1,3685,COLLEGE OF SAINT JOSEPH,COLLEGES WITH INSUFFICIENT DATA,1
-1,3686,GODDARD COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3690,MARLBORO COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3693,SOUTHERN VERMONT COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3695,TRINITY COLLEGE OF VERMONT,COLLEGES WITH INSUFFICIENT DATA,1
-1,3698,VERMONT TECHNICAL COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3703,BLUEFIELD COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3739,SAINT PAUL'S COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3752,VIRGINIA INTERMONT COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3762,VIRGINIA UNIVERSITY OF LYNCHBURG,COLLEGES WITH INSUFFICIENT DATA,1
-1,3777,HERITAGE UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3807,MOUNTAIN STATE UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3819,OHIO VALLEY UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3820,SALEM INTERNATIONAL UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3850,SILVER LAKE COLLEGE OF THE HOLY FAMILY,COLLEGES WITH INSUFFICIENT DATA,1
-1,3873,MOUNT SENARIO COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3936,PONTIFICAL CATHOLIC UNIVERSITY OF PUERTO RICO (THE),COLLEGES WITH INSUFFICIENT DATA,1
-1,3937,UNIVERSITY OF THE SACRED HEART,COLLEGES WITH INSUFFICIENT DATA,1
-1,3938,INTER AMERICAN UNIVERSITY OF PUERTO RICO,COLLEGES WITH INSUFFICIENT DATA,1
-1,3941,UNIVERSIDAD DEL ESTE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3942,UNIVERSITY OF PUERTO RICO - CENTRAL ADMINISTRATION,COLLEGES WITH INSUFFICIENT DATA,1
-1,3946,UNIVERSITY OF THE VIRGIN ISLANDS,COLLEGES WITH INSUFFICIENT DATA,1
-1,3948,SAN FRANCISCO ART INSTITUTE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3966,BOSTON ARCHITECTURAL COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,3967,FORSYTH SCHOOL FOR DENTAL HYGIENISTS,COLLEGES WITH INSUFFICIENT DATA,1
-1,3974,MESIVTHA TIFERETH JERUSALEM OF AMERICA,COLLEGES WITH INSUFFICIENT DATA,1
-1,3976,RABBINICAL ACADEMY MESIVTA RABBI CHAIM BERLIN,COLLEGES WITH INSUFFICIENT DATA,1
-1,3977,RABBINICAL COLLEGE CH'SAN SOFER OF NEW YORK,COLLEGES WITH INSUFFICIENT DATA,1
-1,3978,RABBINICAL SEMINARY OF AMERICA,COLLEGES WITH INSUFFICIENT DATA,1
-1,3982,CLEVELAND INSTITUTE OF ART (THE),COLLEGES WITH INSUFFICIENT DATA,1
-1,4023,APPALACHIAN TECHNICAL COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4026,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY - CROSSVILLE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4058,GRATZ COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4071,WALSH COLLEGE OF ACCOUNTANCY & BUSINESS ADMINISTRATION,COLLEGES WITH INSUFFICIENT DATA,1
-1,4117,GRADY HEALTH SYSTEM,COLLEGES WITH INSUFFICIENT DATA,1
-1,4181,ADVOCATE TRINITY HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,COLLEGES WITH INSUFFICIENT DATA,1
-1,4233,SAINT LUKE'S METHODIST HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,COLLEGES WITH INSUFFICIENT DATA,1
-1,4374,SAINT CLOUD HOSPITAL X-RAY TECHNOLOGY,COLLEGES WITH INSUFFICIENT DATA,1
-1,4413,MERCY HOSPITAL SPRINGFIELD SCHOOL OF RADIOLOGIC TECHNOLOGY,COLLEGES WITH INSUFFICIENT DATA,1
-1,4462,GADSDEN BUSINESS COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4484,JOHN F. KENNEDY UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,4490,PATTEN UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,4494,EVEREST COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4503,EVEREST COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4507,EVEREST COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4560,GEM CITY COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4568,MIDSTATE COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4571,SPARKS COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4583,BROWN MACKIE COLLEGE-SOUTH BEND,COLLEGES WITH INSUFFICIENT DATA,1
-1,4621,AYERS CAREER COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4648,RASMUSSEN COLLEGE - EAGAN,COLLEGES WITH INSUFFICIENT DATA,1
-1,4669,UPPER CAPE COD REGIONAL TECHNICAL SCHOOL,COLLEGES WITH INSUFFICIENT DATA,1
-1,4703,LOGAN UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,4730,MCINTOSH COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4733,CHESTER COLLEGE OF NEW ENGLAND,COLLEGES WITH INSUFFICIENT DATA,1
-1,4749,BRYANT & STRATTON BUSINESS INSTITUTE-ALBANY,COLLEGES WITH INSUFFICIENT DATA,1
-1,4765,CUNY GRADUATE SCHOOL & UNIVERSITY CENTER,COLLEGES WITH INSUFFICIENT DATA,1
-1,4776,CENTRAL YESHIVA TOMCHEI TMIMIM LUBAVITZ,COLLEGES WITH INSUFFICIENT DATA,1
-1,4798,MIRRER YESHIVA CENTRAL INSTITUTE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4811,EVEREST INSTITUTE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4825,TAYLOR BUSINESS INSTITUTE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4855,DAVIS COLLEGE,COLLEGES WITH INSUFFICIENT DATA,1
-1,4882,OREGON HEALTH & SCIENCE UNIVERSITY,COLLEGES WITH INSUFFICIENT DATA,1
-1,4886,ELECTRONIC INSTITUTES,COLLEGES WITH INSUFFICIENT DATA,1
-1,4887,BRANDYWINE SCHOOL OF NURSING,COLLEGES WITH INSUFFICIENT DATA,1
